company_name,bidding_day,bidding_date,total_multiple,qib_multiple,nii_multiple,retail_multiple,source
TRIDENT TECHLABS LTD.,2,"December 22, 2023",121.07,3.07,68.83,204.78,user_scraped
TRIDENT TECHLABS LTD.,3,"December 26, 2023",763.3,117.91,854.37,1059.43,user_scraped
TRUST FINTECH LTD.,1,"March 26, 2024",3.34,0.0,2.74,5.51,user_scraped
TRUST FINTECH LTD.,2,"March 27, 2024",12.36,0.32,14.21,18.44,user_scraped
TRUST FINTECH LTD.,3,"March 28, 2024",108.63,65.38,244.48,75.1,user_scraped
UNIHEALTH CONSULTANCY LTD.,1,"September 8, 2023",0.98,0.0,0.53,2.41,user_scraped
UNIHEALTH CONSULTANCY LTD.,2,"September 11, 2023",4.46,0.05,3.69,10.43,user_scraped
UNIHEALTH CONSULTANCY LTD.,3,"September 12, 2023",18.22,5.97,37.65,24.61,user_scraped
UNITED HEAT TRANSFER LTD.,1,"October 22, 2024",2.67,1.74,4.25,2.52,user_scraped
UNITED HEAT TRANSFER LTD.,2,"October 23, 2024",9.27,2.61,7.84,13.72,user_scraped
UNITED HEAT TRANSFER LTD.,3,"October 24, 2024",83.7,26.56,124.72,98.93,user_scraped
UTSSAV C Z GOLD JEWELS LTD.,1,"July 31, 2024",1.83,0.0,1.16,3.16,user_scraped
UTSSAV C Z GOLD JEWELS LTD.,2,"August 1, 2024",8.43,0.0,9.07,12.97,user_scraped
UTSSAV C Z GOLD JEWELS LTD.,3,"August 2, 2024",47.58,36.43,64.47,46.71,user_scraped
VETO SWITCHGEARS & CABLES LTD.,1,"Dec 3, 2012",0.39,0.37,0.52,0.18,user_scraped
VETO SWITCHGEARS & CABLES LTD.,2,"Dec 4, 2012",0.7,0.37,1.02,0.41,user_scraped
VETO SWITCHGEARS & CABLES LTD.,3,"Dec 5, 2012",1.56,1.05,1.47,2.06,user_scraped
VINYAS INNOVATIVE TECHNOLOGIES LTD.,1,"September 27, 2023",0.23,0.0,0.5,0.24,user_scraped
VINYAS INNOVATIVE TECHNOLOGIES LTD.,2,"September 28, 2023",0.37,0.0,0.62,0.47,user_scraped
VINYAS INNOVATIVE TECHNOLOGIES LTD.,3,"September 29, 2023",3.19,8.0,1.33,1.24,user_scraped
VINYAS INNOVATIVE TECHNOLOGIES LTD.,4,"October 3, 2023",43.24,42.74,95.16,21.27,user_scraped
VISION INFRA EQUIPMENT SOLUTIONS LTD.,1,"September 6, 2024",2.08,4.38,1.01,1.22,user_scraped
VISION INFRA EQUIPMENT SOLUTIONS LTD.,2,"September 9, 2024",3.1,4.38,1.31,3.13,user_scraped
VISION INFRA EQUIPMENT SOLUTIONS LTD.,3,"September 10, 2024",68.14,60.94,180.39,24.14,user_scraped
VITAL CHEMTECH LTD.,1,"Oct 31, 2022",3.17,1.4,1.3,6.48,user_scraped
VITAL CHEMTECH LTD.,2,"Nov 1, 2022",11.43,1.74,6.39,27.4,user_scraped
VITAL CHEMTECH LTD.,3,"Nov 2, 2022",29.48,3.26,39.1,62.76,user_scraped
VITAL CHEMTECH LTD.,4,"Nov 3, 2022",79.33,15.48,204.05,116.98,user_scraped
WOL 3D INDIA LTD.,1,"September 23, 2024",17.11,2.07,11.95,27.91,user_scraped
WOL 3D INDIA LTD.,2,"September 24, 2024",60.65,3.94,65.23,91.05,user_scraped
WOL 3D INDIA LTD.,3,"September 25, 2024",373.86,101.24,748.81,368.47,user_scraped
YASH OPTICS & LENS LTD.,1,"March 27, 2024",0.59,1.38,0.11,0.41,user_scraped
YASH OPTICS & LENS LTD.,2,"March 28, 2024",0.92,1.7,0.2,0.87,user_scraped
YASH OPTICS & LENS LTD.,3,"April 1, 2024",1.48,1.7,0.65,1.77,user_scraped
YASH OPTICS & LENS LTD.,4,"April 2, 2024",4.26,1.7,3.29,6.05,user_scraped
YASH OPTICS & LENS LTD.,5,"April 3, 2024",42.17,19.88,85.27,32.46,user_scraped
ZENITH DRUGS LTD.,1,"February 19, 2024",1.92,0.0,0.99,3.42,user_scraped
ZENITH DRUGS LTD.,2,"February 20, 2024",6.25,3.53,2.5,9.41,user_scraped
ZENITH DRUGS LTD.,3,"February 21, 2024",12.43,3.54,7.98,19.42,user_scraped
ZENITH DRUGS LTD.,4,"February 22, 2024",179.18,106.72,368.77,139.28,user_scraped
